1, 4, 1, goodbad, Pleasant, Unpleasant, Terrible, 7.487954e+04, 7.488497e+04, 7.488522e+04, i, 1.221646e+00, 1, 1.221646e+00
2, 3, 1, goodbad, Pleasant, Unpleasant, Fantastic, 7.487954e+04, 7.488645e+04, 7.488670e+04, e, 6.630000e-01, 1, 6.630000e-01
3, 4, 1, goodbad, Pleasant, Unpleasant, Revolting, 7.487954e+04, 7.488738e+04, 7.488764e+04, i, 6.809280e-01, 1, 6.809280e-01
4, 3, 1, goodbad, Pleasant, Unpleasant, Terrific, 7.487954e+04, 7.488834e+04, 7.488859e+04, e, 5.018161e-01, 1, 5.018161e-01
5, 3, 1, goodbad, Pleasant, Unpleasant, Superb, 7.487954e+04, 7.488911e+04, 7.488936e+04, e, 4.537385e-01, 1, 4.537385e-01
6, 4, 1, goodbad, Pleasant, Unpleasant, Horrid, 7.487954e+04, 7.488983e+04, 7.489008e+04, i, 5.307004e-01, 1, 5.307004e-01
7, 4, 1, goodbad, Pleasant, Unpleasant, Horrible, 7.487954e+04, 7.489062e+04, 7.489087e+04, i, 5.131105e-01, 1, 5.131105e-01
8, 3, 1, goodbad, Pleasant, Unpleasant, Terrific, 7.487954e+04, 7.489139e+04, 7.489164e+04, e, 8.853403e-01, 1, 8.853403e-01
9, 4, 1, goodbad, Pleasant, Unpleasant, Horrible, 7.487954e+04, 7.489254e+04, 7.489279e+04, i, 3.516341e+00, 1, 3.516341e+00
10, 3, 1, goodbad, Pleasant, Unpleasant, Wonderful, 7.487954e+04, 7.489631e+04, 7.489657e+04, e, 8.499864e-01, 1, 8.499864e-01
11, 4, 1, goodbad, Pleasant, Unpleasant, Disgusting, 7.487954e+04, 7.489743e+04, 7.489769e+04, i, 1.697752e+00, 1, 1.697752e+00
12, 3, 1, goodbad, Pleasant, Unpleasant, Fantastic, 7.487954e+04, 7.489939e+04, 7.489966e+04, e, 6.391053e-01, 1, 6.391053e-01
13, 3, 1, goodbad, Pleasant, Unpleasant, Wonderful, 7.487954e+04, 7.490031e+04, 7.490056e+04, e, 1.000625e+00, 1, 1.000625e+00
14, 4, 1, goodbad, Pleasant, Unpleasant, Revolting, 7.487954e+04, 7.490158e+04, 7.490183e+04, i, 6.810318e-01, 1, 6.810318e-01
15, 4, 1, goodbad, Pleasant, Unpleasant, Disgusting, 7.487954e+04, 7.490252e+04, 7.490278e+04, i, 8.016558e-01, 1, 8.016558e-01
16, 3, 1, goodbad, Pleasant, Unpleasant, Superb, 7.487954e+04, 7.490360e+04, 7.490385e+04, e, 1.066252e+00, 1, 1.066252e+00
17, 4, 1, goodbad, Pleasant, Unpleasant, Nasty, 7.487954e+04, 7.490494e+04, 7.490519e+04, i, 6.871607e-01, 1, 6.871607e-01
18, 3, 1, goodbad, Pleasant, Unpleasant, Wonderful, 7.487954e+04, 7.490589e+04, 7.490614e+04, e, 5.553295e-01, 1, 5.553295e-01
19, 3, 1, goodbad, Pleasant, Unpleasant, Terrific, 7.487954e+04, 7.490671e+04, 7.490696e+04, e, 8.562850e-01, 1, 8.562850e-01
20, 4, 1, goodbad, Pleasant, Unpleasant, Nasty, 7.487954e+04, 7.490783e+04, 7.490808e+04, i, 5.852010e-01, 1, 5.852010e-01
21, 2, 2, blackwhite, Black, White, W2jpg.jpg, 7.487954e+04, 7.491313e+04, 7.491338e+04, i, 7.169579e-01, 1, 7.169579e-01
22, 1, 2, blackwhite, Black, White, B8jpg.jpg, 7.487954e+04, 7.491411e+04, 7.491436e+04, e, 5.909907e-01, 1, 5.909907e-01
23, 2, 2, blackwhite, Black, White, W6jpg.jpg, 7.487954e+04, 7.491497e+04, 7.491522e+04, i, 4.824799e-01, 1, 4.824799e-01
24, 1, 2, blackwhite, Black, White, B7jpg.jpg, 7.487954e+04, 7.491572e+04, 7.491597e+04, e, 4.705753e-01, 1, 4.705753e-01
25, 1, 2, blackwhite, Black, White, B8jpg.jpg, 7.487954e+04, 7.491645e+04, 7.491670e+04, e, 3.385016e-01, 0, 7.993381e-01
26, 1, 2, blackwhite, Black, White, B3jpg.jpg, 7.487954e+04, 7.491751e+04, 7.491777e+04, e, 3.864335e-01, 1, 3.864335e-01
27, 1, 2, blackwhite, Black, White, B1jpg.jpg, 7.487954e+04, 7.491817e+04, 7.491843e+04, e, 2.962210e-01, 1, 2.962210e-01
